	path	sentence
0	SP02-OTR002-01-A-0134.wav	bal yul gyi phyi 'brel blon chen gyis khas len rtsa ba nas byed kyi med par 
1	SP02-OTR002-01-B-0267.wav	googledra tshigs la brten nas skad bsgyur byas pa'i dbyin ji'i thog gi kha brda 'di mjug sgril 'dod byung pa dang  
2	SP02-OTR002-08-B-083.wav	da dung yang tshod mi zin pa'i las ka 'dra min byas na 'di las kyang tshabs che ba'i 'bras bu ngan pa sna tshogs 'byung srid 
3	SP02-OTR002-01-B-1491.wav	chos lugs thad thos bsam zab pa 
4	SP02-OTR002-01-B-0091.wav	bskyar du gnas mjal la skyod rgyu'i smon lam 'debs shing  
5	SP02-OTR002-01-A-0757.wav	da dung gna' snga mo'i dus rabs kyi dran shes bskyar du mngon thub rgyur skul slong yong gi yod 
6	SP02-OTR002-01-A-0479.wav	'di'i thog nas rgyal kha thob par sne len gzab rgyas zhus yod 
7	SP02-OTR002-01-A-0693.wav	dgon bdag ni gzhon nu dar ma seng ge bstan 'dzin rin po che red 
8	SP02-OTR002-03-B-040.wav	dmod mo byed mkhan mang po yod pas 
9	SP02-OTR002-05-A-33.wav	deng sang bod yul du nga las yon tan che ba med 
10	SP02-OTR002-01-A-0852.wav	gle mi sa khul gyi yul skad dang sa mtshams kyi gzhogs gzhan 'dir yod pa'i spu hreng gi yul skad ha lam gcig pa yin zhing  
11	SP02-OTR002-01-B-1361.wav	mthar 'bar rdzas bed spyod byas nas sku brnyan chen po 'di rbad de rtsa gtor btang yod 
12	SP02-OTR002-02-A-160.wav	skabs der rgyal po khri srong lde btsan gyis 
13	SP02-OTR002-06-B-119.wav	ngas thabs shes gang yod bton te skyid chu brgal mkhan gyi mang tshogs skyo po rnams gru la brten mi dgos pa zhig nges par byed kyi yin 
14	SP02-OTR002-01-B-1499.wav	bod kyi las don skor gyi bzhugs mol tshogs 'du thengs bdun pa tshogs pa'i don snying dril bsgrags kyi gtam bshad zer ba spel yod la 
15	SP02-OTR002-01-B-0043.wav	de nas gus mos yar langs te par len byed rgyu 'go btsugs pa yin 
16	SP02-OTR002-09-A-72.wav	go ba 
17	SP02-OTR002-08-A-017.wav	rang gi nor 'khrul la rang nyid kyis bcos sgyur yang dag pa zhig byed thub min ni gnad don gtso bor yin pa dang  
18	SP02-OTR002-06-B-122.wav	rgyu nor gyi dbang du song ba'i mi 'di dag la rnam 'gyur zhig ma bstan na 
19	SP02-OTR002-01-A-1900.wav	ca dngos tsag tsig btsong mkhan gyi tshong khang chung chung zhig nang mgo 'khor byung  
20	SP02-OTR002-01-B-0511.wav	dmag don gyi dbang cha 'dzin nas bod kyi dngul lor bzo grwa dang  
21	SP02-OTR002-08-C-003.wav	mar pa lo tsa bas mi la ras pa thog mar mjal ba'i skabs nas bzung mi la ras pa ni 
22	SP02-OTR002-01-A-1027.wav	snyan 'jebs ldan pa'i mngon med don mtshon gyi bro ba 'di mnyam spyod zhu 'dod byung na yang blo pham pa zhig la 
23	SP02-OTR002-01-B-0217.wav	gangs rin po che nas rgyal khams 'grim te phebs mkhan dge 'dun pa zhig 'phrad pa dang  
24	SP02-OTR002-04-A-111.wav	de nas nyin zhig jo bos rang nyid bod du phebs rgyur thag bcad de 
25	SP02-OTR002-01-A-0140.wav	par bskrun byas pa zhig red 
26	SP02-OTR002-01-B-0625.wav	rgya gar du phebs skabs mnyam yod grong 'di brtsi mthong med pa'i gna' shul zhig tu gyur yod pa dngos su gzigs 'dug 
27	SP02-OTR002-01-A-1416.wav	dmangs khrod nas lo gsar bsu ba'i mdzad sgo'i thog gzhi nas shon mthong rgyu yod pas 
28	SP02-OTR002-01-A-0018.wav	don dngos thog hi ma la ya'i ri brgyud kyi rgyal khab dang sa khul la  
29	SP02-OTR002-07-A-099.wav	byis pa lo bcu grangs shig rgyal po'i bla sman du bskos pa ni 
30	SP02-OTR002-01-B-0206.wav	dur bdag 'khrab mkhan dang 'dra ba'i gos dkar skyes pa 'di  
31	SP02-OTR002-01-B-0501.wav	stod cha 
32	SP02-OTR002-07-A-141.wav	khyod la 'di'i thad lta tshul ci zhig yod ces bka' 'dri gnang 
33	SP02-OTR002-01-B-1152.wav	dus rabs bco lnga'i skabs 'bri gung bka' rgyud la bsgyur zhing  
34	SP02-OTR002-01-B-1442.wav	gangs skor gyi lam thog nas dngos su mthong gsal la 
35	SP02-OTR002-02-C-172.wav	aha  
36	SP02-OTR002-01-B-0643.wav	la dwags ni nga'i nang red zhu ba de ni 'bri gung gi dgon pa gang du yod rung 'di nga'i nang red 
37	SP02-OTR002-07-A-078.wav	bzang spyod 
38	SP02-OTR002-01-B-0631.wav	gnas mchog 'dir mnyan yod nang pa'i rig gzhung dus chen zhu ba zhig tshogs gnang nas  
39	SP02-OTR002-01-A-0997.wav	ci la mnyes 
40	SP02-OTR002-02-A-085.wav	pha ma gnyis kas sras la byams po byed bzhin nang mi rnams spro skyid ldan pa'i sgo nas dgong zas la rol pa red 
41	SP02-OTR002-06-A-138.wav	ces rang nyid la kher lab kyis sdod pa las thabs gzhan ci yang ma rnyed pa red 
42	SP02-OTR002-01-B-0355.wav	yin na'ang de bas gal che ba zhig ni sa khral dus skabs su gle mis bal yul la sa khral bskyal gyi yod 'dug 
43	SP02-OTR002-01-A-0128.wav	gsar 'gyur brgyud lam nas zla ba dgu pa'i nang  
44	SP02-OTR002-01-A-0784.wav	spyi lo nyis stong bco brgyad lor par bskrun byas pa'i grong khyer lha sa'i gna' bo'i sa ming dkar chag ces pa de red 
